nohup: ignoring input

🔍 正在处理文件: data/features/chb01/features.npz

📂 Fold 1/5
Epoch 15/20 | Loss: 0.4082 | Val Acc: 0.9257
Epoch 16/20 | Loss: 0.4068 | Val Acc: 0.9261
Epoch 17/20 | Loss: 0.4075 | Val Acc: 0.9269
Epoch 18/20 | Loss: 0.4055 | Val Acc: 0.9269
Epoch 19/20 | Loss: 0.4063 | Val Acc: 0.9281
Epoch 20/20 | Loss: 0.4065 | Val Acc: 0.9269

✅ features.npz 的平均准确率：0.9144 ± 0.0080

🔍 正在处理文件: data/features/chb02/features.npz

📂 Fold 1/5
Epoch 1/20 | Loss: 0.5861 | Val Acc: 0.7649
Epoch 2/20 | Loss: 0.5202 | Val Acc: 0.7970
Epoch 3/20 | Loss: 0.4981 | Val Acc: 0.8039
Epoch 4/20 | Loss: 0.4876 | Val Acc: 0.8154
Epoch 5/20 | Loss: 0.4877 | Val Acc: 0.8200
Epoch 6/20 | Loss: 0.4849 | Val Acc: 0.8165
Epoch 7/20 | Loss: 0.4771 | Val Acc: 0.8222
Epoch 8/20 | Loss: 0.4782 | Val Acc: 0.8268
Epoch 9/20 | Loss: 0.4802 | Val Acc: 0.8234
Epoch 10/20 | Loss: 0.4740 | Val Acc: 0.8257
Epoch 11/20 | Loss: 0.4746 | Val Acc: 0.8303
Epoch 12/20 | Loss: 0.4753 | Val Acc: 0.8314
Epoch 13/20 | Loss: 0.4722 | Val Acc: 0.8360
Epoch 14/20 | Loss: 0.4713 | Val Acc: 0.8372
Epoch 15/20 | Loss: 0.4722 | Val Acc: 0.8417
Epoch 16/20 | Loss: 0.4648 | Val Acc: 0.8406
Epoch 17/20 | Loss: 0.4693 | Val Acc: 0.8417
Epoch 18/20 | Loss: 0.4681 | Val Acc: 0.8452
Epoch 19/20 | Loss: 0.4659 | Val Acc: 0.8475
Epoch 20/20 | Loss: 0.4704 | Val Acc: 0.8452

📂 Fold 2/5
Epoch 1/20 | Loss: 0.5971 | Val Acc: 0.7947
Epoch 2/20 | Loss: 0.5258 | Val Acc: 0.8234
Epoch 3/20 | Loss: 0.5062 | Val Acc: 0.8383
Epoch 4/20 | Loss: 0.4985 | Val Acc: 0.8326
Epoch 5/20 | Loss: 0.4983 | Val Acc: 0.8440
Epoch 6/20 | Loss: 0.4888 | Val Acc: 0.8406
Epoch 7/20 | Loss: 0.4870 | Val Acc: 0.8486
Epoch 8/20 | Loss: 0.4861 | Val Acc: 0.8498
Epoch 9/20 | Loss: 0.4847 | Val Acc: 0.8509
Epoch 10/20 | Loss: 0.4874 | Val Acc: 0.8567
Epoch 11/20 | Loss: 0.4796 | Val Acc: 0.8521
Epoch 12/20 | Loss: 0.4769 | Val Acc: 0.8486
Epoch 13/20 | Loss: 0.4785 | Val Acc: 0.8612
